list_name,name,label,q101_country,q102_state,q103_district
subDistrict,Pheta ,Pheta ,Nepal,State_2,Bara
subDistrict,Prasauni ,Prasauni ,Nepal,State_2,Bara
subDistrict,Simraungadh ,Simraungadh ,Nepal,State_2,Bara
subDistrict,Suwarna ,Suwarna ,Nepal,State_2,Bara
subDistrict,Badhaiyatal ,Badhaiyatal ,Nepal,State_5,Bardiya
subDistrict,Bansagadhi ,Bansagadhi ,Nepal,State_5,Bardiya
subDistrict,Barbardiya ,Barbardiya ,Nepal,State_5,Bardiya
subDistrict,Geruwa ,Geruwa ,Nepal,State_5,Bardiya
subDistrict,Gulariya ,Gulariya ,Nepal,State_5,Bardiya
subDistrict,Madhuwan ,Madhuwan ,Nepal,State_5,Bardiya
subDistrict,Rajapur ,Rajapur ,Nepal,State_5,Bardiya
subDistrict,Thakurbaba ,Thakurbaba ,Nepal,State_5,Bardiya
subDistrict,Bharatpur ,Bharatpur ,Nepal,State_3,Chitwan
subDistrict,Ichchhyakamana ,Ichchhyakamana ,Nepal,State_3,Chitwan
subDistrict,Kalika ,Kalika ,Nepal,State_3,Chitwan
subDistrict,Khairahani ,Khairahani ,Nepal,State_3,Chitwan
subDistrict,Madi ,Madi ,Nepal,State_3,Chitwan
subDistrict,Rapti ,Rapti ,Nepal,State_3,Chitwan
subDistrict,Ratnanagar ,Ratnanagar ,Nepal,State_3,Chitwan
subDistrict,Aaurahi ,Aaurahi ,Nepal,State_2,Dhanusha
subDistrict,Bateshwor ,Bateshwor ,Nepal,State_2,Dhanusha
subDistrict,Bideha ,Bideha ,Nepal,State_2,Dhanusha
subDistrict,Chhireshwornath ,Chhireshwornath ,Nepal,State_2,Dhanusha
subDistrict,Dhanauji,Dhanauji,Nepal,State_2,Dhanusha
subDistrict,Dhanusadham ,Dhanusadham ,Nepal,State_2,Dhanusha
subDistrict,GaneshmanCharnath ,Ganeshman Charnath ,Nepal,State_2,Dhanusha
subDistrict,Hansapur ,Hansapur ,Nepal,State_2,Dhanusha
subDistrict,Janaknandani ,Janaknandani ,Nepal,State_2,Dhanusha
subDistrict,Janakpur ,Janakpur ,Nepal,State_2,Dhanusha
subDistrict,Kamala  ,Kamala  ,Nepal,State_2,Dhanusha
subDistrict,Lakshminiya ,Lakshminiya ,Nepal,State_2,Dhanusha
subDistrict,Mithila ,Mithila ,Nepal,State_2,Dhanusha
subDistrict,MithilaBihari ,Mithila Bihari ,Nepal,State_2,Dhanusha
subDistrict,MukhiyapattiMusarmiya ,Mukhiyapatti Musarmiya ,Nepal,State_2,Dhanusha
subDistrict,Nagarain ,Nagarain ,Nepal,State_2,Dhanusha
subDistrict,Sabaila ,Sabaila ,Nepal,State_2,Dhanusha
subDistrict,Sahidnagar ,Sahidnagar ,Nepal,State_2,Dhanusha
subDistrict,Arjundhara,Arjundhara,Nepal,State_1,Jhapa
subDistrict,Barhadashi ,Barhadashi ,Nepal,State_1,Jhapa
subDistrict,Bhadrapur,Bhadrapur,Nepal,State_1,Jhapa
subDistrict,Birtamod ,Birtamod ,Nepal,State_1,Jhapa
subDistrict,Buddhashanti,Buddhashanti,Nepal,State_1,Jhapa
subDistrict,Damak,Damak,Nepal,State_1,Jhapa
subDistrict,Gauradhaha,Gauradhaha,Nepal,State_1,Jhapa
subDistrict,Gauriganj,Gauriganj,Nepal,State_1,Jhapa
subDistrict,Haldibari,Haldibari,Nepal,State_1,Jhapa
subDistrict,Jhapa ,Jhapa ,Nepal,State_1,Jhapa
