"list_name","name","label","Hub","District","Block_VDC"
"Block_VDCs","Pasupatinagar","Pasupatinagar","Nepal","Bardiya",""
"Block_VDCs","Patabhar","Patabhar","Nepal","Bardiya",""
"Block_VDCs","Rajapur","Rajapur","Nepal","Bardiya",""
"Block_VDCs","Sanesri","Sanesri","Nepal","Bardiya",""
"Block_VDCs","Shivapur","Shivapur","Nepal","Bardiya",""
"Block_VDCs","Sorhawa","Sorhawa","Nepal","Bardiya",""
"Block_VDCs","Suryapatawa","Suryapatawa","Nepal","Bardiya",""
"Block_VDCs","Taratal","Taratal","Nepal","Bardiya",""
"Block_VDCs","Thakurdwara","Thakurdwara","Nepal","Bardiya",""
"Block_VDCs","Attariya","Attariya","Nepal","Kailali",""
"Block_VDCs","Basauti","Basauti","Nepal","Kailali",""
"Block_VDCs","Bhajani","Bhajani","Nepal","Kailali",""
"Block_VDCs","Boniya","Boniya","Nepal","Kailali",""
"Block_VDCs","Chaumala","Chaumala","Nepal","Kailali",""
"Block_VDCs","Dansinhapur","Dansinhapur","Nepal","Kailali",""
"Block_VDCs","Darakh","Darakh","Nepal","Kailali",""
"Block_VDCs","Dhangadhi","Dhangadhi","Nepal","Kailali",""
"Block_VDCs","Dodhara","Dodhara","Nepal","Kailali",""
"Block_VDCs","Durgauli","Durgauli","Nepal","Kailali",""
"Block_VDCs","Gadariya","Gadariya","Nepal","Kailali",""
"Block_VDCs","Godawari","Godawari","Nepal","Kailali",""
"Block_VDCs","Hasuliya","Hasuliya","Nepal","Kailali",""
"Block_VDCs","Janakinagar","Janakinagar","Nepal","Kailali",""
"Block_VDCs","Joshipur","Joshipur","Nepal","Kailali",""
"Block_VDCs","Khailad","Khailad","Nepal","Kailali",""
"Block_VDCs","Khairala","Khairala","Nepal","Kailali",""
"Block_VDCs","KotaTulsipur","KotaTulsipur","Nepal","Kailali",""
"Block_VDCs","Lalbojhi","Lalbojhi","Nepal","Kailali",""
"Block_VDCs","LamkiChuha","LamkiChuha","Nepal","Kailali",""
"Block_VDCs","Masuriya","Masuriya","Nepal","Kailali",""
"Block_VDCs","Mohanyal","Mohanyal","Nepal","Kailali",""
"Block_VDCs","Munuwa","Munuwa","Nepal","Kailali",""
"Block_VDCs","Narayanpur","Narayanpur","Nepal","Kailali",""
"Block_VDCs","Nigali","Nigali","Nepal","Kailali",""
"Block_VDCs","Pahalmanpur","Pahalmanpur","Nepal","Kailali",""
"Block_VDCs","Pandaun","Pandaun","Nepal","Kailali",""
"Block_VDCs","Pawera","Pawera","Nepal","Kailali",""
"Block_VDCs","Phulbari","Phulbari","Nepal","Kailali",""
"Block_VDCs","RamsikharJhala","RamsikharJhala","Nepal","Kailali",""
"Block_VDCs","Ratnapur","Ratnapur","Nepal","Kailali",""
"Block_VDCs","Sadepani","Sadepani","Nepal","Kailali",""
"Block_VDCs","Sahajpur","Sahajpur","Nepal","Kailali",""
"Block_VDCs","Sugarkhal","Sugarkhal","Nepal","Kailali",""
"Block_VDCs","Thapapur","Thapapur","Nepal","Kailali",""
"Block_VDCs","Tikapur","Tikapur","Nepal","Kailali",""
"Block_VDCs","Udasipur","Udasipur","Nepal","Kailali",""
"Block_VDCs","Urma","Urma","Nepal","Kailali",""
"Block_VDCs","BaiseBichwa","BaiseBichwa","Nepal","Kanchanpur",""
"Block_VDCs","Belauri","Belauri","Nepal","Kanchanpur",""
"Block_VDCs","Beldandi","Beldandi","Nepal","Kanchanpur",""
"Block_VDCs","Bhimdatta","Bhimdatta","Nepal","Kanchanpur",""
"Block_VDCs","Chandani","Chandani","Nepal","Kanchanpur",""
"Block_VDCs","Daiji","Daiji","Nepal","Kanchanpur",""
"Block_VDCs","Dekhatbhuli","Dekhatbhuli","Nepal","Kanchanpur",""
"Block_VDCs","Dodhara","Dodhara","Nepal","Kanchanpur",""
"Block_VDCs","Jhalari","Jhalari","Nepal","Kanchanpur",""
"Block_VDCs","Krishnapur","Krishnapur","Nepal","Kanchanpur",""
"Block_VDCs","Pipaladi","Pipaladi","Nepal","Kanchanpur",""
"Block_VDCs","Punarwas","Punarwas","Nepal","Kanchanpur",""
