"list_name","name","label","Hub","District","Block"
"Blocks","Uruwa","Uruwa","EasternUP","Gorakhpur",""
"Blocks","Dudhahi","Dudhahi","EasternUP","Kushinagar",""
"Blocks","Fazilnagar","Fazilnagar","EasternUP","Kushinagar",""
"Blocks","Hata","Hata","EasternUP","Kushinagar",""
"Blocks","Kaptanganj","Kaptanganj","EasternUP","Kushinagar",""
"Blocks","Kasya","Kasya","EasternUP","Kushinagar",""
"Blocks","Khada","Khada","EasternUP","Kushinagar",""
"Blocks","Motichak","Motichak","EasternUP","Kushinagar",""
"Blocks","NebuaNaurangiya","Nebua Naurangiya","EasternUP","Kushinagar",""
"Blocks","Padrauna","Padrauna","EasternUP","Kushinagar",""
"Blocks","Ramkola","Ramkola","EasternUP","Kushinagar",""
"Blocks","Sewarhi","Sewarhi","EasternUP","Kushinagar",""
"Blocks","Sukrauli","Sukrauli","EasternUP","Kushinagar",""
"Blocks","Tamkuhiraj","Tamkuhiraj","EasternUP","Kushinagar",""
"Blocks","Vishunpura","Vishunpura","EasternUP","Kushinagar",""
"Blocks","Brijmangaj","Brijmangaj","EasternUP","Maharajganj",""
"Blocks","Dhani","Dhani","EasternUP","Maharajganj",""
"Blocks","Ghughuli","Ghughuli","EasternUP","Maharajganj",""
"Blocks","Lakshmipur","Lakshmipur","EasternUP","Maharajganj",""
"Blocks","Mahrajganj","Mahrajganj","EasternUP","Maharajganj",""
"Blocks","Mithaura","Mithaura","EasternUP","Maharajganj",""
"Blocks","Nautanawa","Nautanawa","EasternUP","Maharajganj",""
"Blocks","Nichlaul","Nichlaul","EasternUP","Maharajganj",""
"Blocks","Paniyara","Paniyara","EasternUP","Maharajganj",""
"Blocks","Partawal","Partawal","EasternUP","Maharajganj",""
"Blocks","Pharenda","Pharenda","EasternUP","Maharajganj",""
"Blocks","Siswa","Siswa","EasternUP","Maharajganj",""
"Blocks","Baghauli","Baghauli","EasternUP","SantKabirnagar",""
"Blocks","Belharkala","Belharkala","EasternUP","SantKabirnagar",""
"Blocks","Haisarbajar","Haisar bajar","EasternUP","SantKabirnagar",""
"Blocks","Khalilabad","Khalilabad","EasternUP","SantKabirnagar",""
"Blocks","Mehdawal","Mehdawal","EasternUP","SantKabirnagar",""
"Blocks","Nathnagar","Nathnagar","EasternUP","SantKabirnagar",""
"Blocks","Pauli","Pauli","EasternUP","SantKabirnagar",""
"Blocks","Santha","Santha","EasternUP","SantKabirnagar",""
"Blocks","Semariyawan","Semariyawan","EasternUP","SantKabirnagar",""
"Blocks","Bansi","Bansi","EasternUP","Siddharthnagar",""
"Blocks","Barhnibajar","Barhni bajar","EasternUP","Siddharthnagar",""
"Blocks","Bhanwapur","Bhanwapur","EasternUP","Siddharthnagar",""
"Blocks","Birdpur","Birdpur","EasternUP","Siddharthnagar",""
"Blocks","Domariyaganj","Domariyaganj","EasternUP","Siddharthnagar",""
"Blocks","Itwa","Itwa","EasternUP","Siddharthnagar",""
"Blocks","Jogiyakhas","Jogiya khas","EasternUP","Siddharthnagar",""
"Blocks","Khesrha","Khesrha","EasternUP","Siddharthnagar",""
"Blocks","Khuniyaon","Khuniyaon","EasternUP","Siddharthnagar",""
"Blocks","Mithwal","Mithwal","EasternUP","Siddharthnagar",""
"Blocks","Naugarh","Naugarh","EasternUP","Siddharthnagar",""
"Blocks","Shohratgarh","Shohratgarh","EasternUP","Siddharthnagar",""
"Blocks","Uskabazar","Uska bazar","EasternUP","Siddharthnagar",""
"Blocks","Basudevpur","Basudevpur","Odisha","Bhadrak",""
"Blocks","Bhadrak","Bhadrak","Odisha","Bhadrak",""
"Blocks","Bhandaripokhari","Bhandaripokhari","Odisha","Bhadrak",""
"Blocks","Bonth","Bonth","Odisha","Bhadrak",""
"Blocks","Chandabali","Chandabali","Odisha","Bhadrak",""
"Blocks","Dhamnagar","Dhamnagar","Odisha","Bhadrak",""
"Blocks","Tihidi","Tihidi","Odisha","Bhadrak",""
"Blocks","Bahanaga","Bahanaga","Odisha","Balasore",""
"Blocks","BalasoreSadar","Balasore Sadar","Odisha","Balasore",""
"Blocks","Baliapal","Baliapal","Odisha","Balasore",""
"Blocks","Basta","Basta","Odisha","Balasore",""
"Blocks","Bhogarai","Bhogarai","Odisha","Balasore",""
"Blocks","Jaleswar","Jaleswar","Odisha","Balasore",""
"Blocks","Khaira","Khaira","Odisha","Balasore",""
"Blocks","Nilagiri","Nilagiri","Odisha","Balasore",""
"Blocks","Oupada","Oupada","Odisha","Balasore",""
"Blocks","Remuna","Remuna","Odisha","Balasore",""
"Blocks","Simulia","Simulia","Odisha","Balasore",""
"Blocks","Soro","Soro","Odisha","Balasore",""
"Blocks","Athagarh","Athagarh","Odisha","Cuttack",""
"Blocks","Badamba","Badamba","Odisha","Cuttack",""
"Blocks","Banki","Banki","Odisha","Cuttack",""
"Blocks","BankiDomapada","Banki Domapada","Odisha","Cuttack",""
"Blocks","Baranga","Baranga","Odisha","Cuttack",""
