list_name,name,label,q101_country,q102_state,q103_district
subDistrict,Gurramkonda,Gurramkonda,India,AndhraPradesh,Chittoor
subDistrict,Irala,Irala,India,AndhraPradesh,Chittoor
subDistrict,KVBPuram,K.V.B.Puram,India,AndhraPradesh,Chittoor
subDistrict,Kalakada,Kalakada,India,AndhraPradesh,Chittoor
subDistrict,Kalikiri,Kalikiri,India,AndhraPradesh,Chittoor
subDistrict,Kambhamvaripalle,Kambhamvaripalle,India,AndhraPradesh,Chittoor
subDistrict,Karvetinagar,Karvetinagar,India,AndhraPradesh,Chittoor
subDistrict,Kuppam,Kuppam,India,AndhraPradesh,Chittoor
subDistrict,Kurabalakota,Kurabalakota,India,AndhraPradesh,Chittoor
subDistrict,Madanapalle,Madanapalle,India,AndhraPradesh,Chittoor
subDistrict,Mulakalacheruvu,Mulakalacheruvu,India,AndhraPradesh,Chittoor
subDistrict,Nagalapuram,Nagalapuram,India,AndhraPradesh,Chittoor
subDistrict,Nagari,Nagari,India,AndhraPradesh,Chittoor
subDistrict,Narayanavanam,Narayanavanam,India,AndhraPradesh,Chittoor
subDistrict,Nimmanapalle,Nimmanapalle,India,AndhraPradesh,Chittoor
subDistrict,Nindra,Nindra,India,AndhraPradesh,Chittoor
subDistrict,Pakala,Pakala,India,AndhraPradesh,Chittoor
subDistrict,Palamaner,Palamaner,India,AndhraPradesh,Chittoor
subDistrict,Palasamudram,Palasamudram,India,AndhraPradesh,Chittoor
subDistrict,PeddaThippasamudram,Pedda Thippasamudram,India,AndhraPradesh,Chittoor
subDistrict,Peddamandyam,Peddamandyam,India,AndhraPradesh,Chittoor
subDistrict,Peddapanjani,Peddapanjani,India,AndhraPradesh,Chittoor
subDistrict,Penumuru,Penumuru,India,AndhraPradesh,Chittoor
subDistrict,Pichatur,Pichatur,India,AndhraPradesh,Chittoor
subDistrict,Pileru,Pileru,India,AndhraPradesh,Chittoor
subDistrict,Pulicherla,Pulicherla,India,AndhraPradesh,Chittoor
subDistrict,Punganur,Punganur,India,AndhraPradesh,Chittoor
subDistrict,Puthalapattu,Puthalapattu,India,AndhraPradesh,Chittoor
subDistrict,Puttur,Puttur,India,AndhraPradesh,Chittoor
subDistrict,Ramachandrapuram1,Ramachandrapuram1,India,AndhraPradesh,Chittoor
subDistrict,Ramakuppam,Ramakuppam,India,AndhraPradesh,Chittoor
subDistrict,Ramasamudram,Ramasamudram,India,AndhraPradesh,Chittoor
subDistrict,Renigunta,Renigunta,India,AndhraPradesh,Chittoor
subDistrict,Rompicherla1,Rompicherla1,India,AndhraPradesh,Chittoor
subDistrict,Santhipuram,Santhipuram,India,AndhraPradesh,Chittoor
subDistrict,Satyavedu,Satyavedu,India,AndhraPradesh,Chittoor
subDistrict,Sodam,Sodam,India,AndhraPradesh,Chittoor
